212,34
220,35
238,36
247,37
229,38
58,39
76,40
85,41
67,42
112,43
130,44
139,45
121,46
166,47
184,48
193,49
175,50
266,51
22,52
6,52
22,53
6,53
51,54
53,54
52,54
22,55
6,55
22,56
6,56
55,57
56,57
266,57
57,58
54,58
51,59
55,59
53,59
86,60
25,61
9,61
25,62
9,62
60,63
62,63
61,63
25,64
9,64
25,65
9,65
64,66
65,66
86,66
66,67
63,67
60,68
64,68
62,68
59,69
23,70
7,70
23,71
7,71
69,72
71,72
70,72
23,73
7,73
23,74
7,74
73,75
74,75
59,75
75,76
72,76
69,77
73,77
71,77
77,78
24,79
8,79
24,80
8,80
78,81
80,81
79,81
24,82
8,82
24,83
8,83
82,84
83,84
77,84
84,85
81,85
78,86
82,86
80,86
22,87
6,88
87,88
6,89
22,90
89,90
7,91
23,92
91,92
23,93
7,94
93,94
88,95
90,95
92,95
94,95
25,96
9,96
25,97
9,97
96,98
97,98
24,99
8,99
98,100
99,100
95,101
100,101
68,102
0,103
101,103
101,104
102,104
103,104
104,105
26,106
10,106
26,107
10,107
105,108
107,108
106,108
26,109
10,109
26,110
10,110
109,111
110,111
104,111
111,112
108,112
105,113
109,113
107,113
140,114
29,115
13,115
29,116
13,116
114,117
116,117
115,117
29,118
13,118
29,119
13,119
118,120
119,120
140,120
120,121
117,121
114,122
118,122
116,122
113,123
27,124
11,124
27,125
11,125
123,126
125,126
124,126
27,127
11,127
27,128
11,128
127,129
128,129
113,129
129,130
126,130
123,131
127,131
125,131
131,132
28,133
12,133
28,134
12,134
132,135
134,135
133,135
28,136
12,136
28,137
12,137
136,138
137,138
131,138
138,139
135,139
132,140
136,140
134,140
26,141
10,142
141,142
10,143
26,144
143,144
11,145
27,146
145,146
27,147
11,148
147,148
142,149
144,149
146,149
148,149
29,150
13,150
29,151
13,151
150,152
151,152
28,153
12,153
152,154
153,154
149,155
154,155
122,156
0,157
155,157
155,158
156,158
157,158
158,159
30,160
14,160
30,161
14,161
159,162
161,162
160,162
30,163
14,163
30,164
14,164
163,165
164,165
158,165
165,166
162,166
159,167
163,167
161,167
194,168
33,169
17,169
33,170
17,170
168,171
170,171
169,171
33,172
17,172
33,173
17,173
172,174
173,174
194,174
174,175
171,175
168,176
172,176
170,176
167,177
31,178
15,178
31,179
15,179
177,180
179,180
178,180
31,181
15,181
31,182
15,182
181,183
182,183
167,183
183,184
180,184
177,185
181,185
179,185
185,186
32,187
16,187
32,188
16,188
186,189
188,189
187,189
32,190
16,190
32,191
16,191
190,192
191,192
185,192
192,193
189,193
186,194
190,194
188,194
30,195
14,196
195,196
14,197
30,198
197,198
15,199
31,200
199,200
31,201
15,202
201,202
196,203
198,203
200,203
202,203
33,204
17,204
33,205
17,205
204,206
205,206
32,207
16,207
206,208
207,208
203,209
208,209
176,210
0,211
209,211
209,212
210,212
211,212
0,213
18,214
2,214
18,215
2,215
213,216
215,216
214,216
18,217
2,217
18,218
2,218
217,219
218,219
0,219
219,220
216,220
213,221
217,221
215,221
248,222
21,223
5,223
21,224
5,224
222,225
224,225
223,225
21,226
5,226
21,227
5,227
226,228
227,228
248,228
228,229
225,229
222,230
226,230
224,230
221,231
19,232
3,232
19,233
3,233
231,234
233,234
232,234
19,235
3,235
19,236
3,236
235,237
236,237
221,237
237,238
234,238
231,239
235,239
233,239
239,240
20,241
4,241
20,242
4,242
240,243
242,243
241,243
20,244
4,244
20,245
4,245
244,246
245,246
239,246
246,247
243,247
240,248
244,248
242,248
18,249
2,250
249,250
2,251
18,252
251,252
3,253
19,254
253,254
19,255
3,256
255,256
250,257
252,257
254,257
256,257
21,258
5,258
21,259
5,259
258,260
259,260
20,261
4,261
260,262
261,262
257,263
262,263
230,264
0,265
263,265
263,266
264,266
265,266
220,267
238,268
247,269
229,270
266,271
35,272
36,273
37,274
38,275
39,276
40,277
41,278
42,279
43,280
44,281
45,282
46,283
47,284
48,285
49,286
50,287
34,288
